#DEG_AC	#Gene_Name	#Gene_Ref	#Uniprot_ID	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DNEGSCER	YKR054C	DYN1	P36022	-	-	Cytoplasmic heavy chain dynein; microtubule motor protein; member of the AAA+ protein family, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p; motility along microtubules inhibited by She1p 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YHR099W	TRA1	P38811	-	-	Subunit of SAGA and NuA4 histone acetyltransferase complexes; interacts with acidic activators (e	Saccharomyces cerevisiae	559292	-
DNEGSCER	YDR457W	TOM1	Q03280	-	-	E3 ubiquitin ligase of the hect-domain class; has a role in mRNA export from the nucleus and may regulate transcriptional coactivators; involved in degradation of excess histones; interacts with Dia2p and is required for Dia2p degradation; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLL040C	VPS13	Q07878	-	-	Protein involved in prospore membrane morphogenesis; peripheral membrane protein that localizes to the prospore membrane and at numerous membrane contact sites; involved in sporulation, vacuolar protein sorting, prospore membrane formation during sporulation, and protein-Golgi retention; required for mitochondrial integrity; contains a PH-like domain; homologous to human CHAC and COH1 which are involved in Chorea-acanthocytosis and Cohen syndrome, respectively 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YOL081W	IRA2	P19158	-	-	GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions; IRA2 has a paralog, IRA1, that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLR087C	CSF1	Q12150	-	-	Protein required for fermentation at low temperature; plays a role in the maturation of secretory proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YBL088C	TEL1	P38110	-	-	Protein kinase primarily involved in telomere length regulation; contributes to cell cycle checkpoint control in response to DNA damage; acts with Red1p and Mec1p to promote interhomolog recombination by phosphorylation of Hop1; functionally redundant with Mec1p; regulates P-body formation induced by replication stress; homolog of human ataxia-telangiectasia mutated (ATM) gene 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YDR150W	NUM1	Q00402	-	-	Protein required for nuclear migration; component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and mitochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGL195W	GCN1	P33892	-	-	Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLR454W	FMP27	Q06179	-	-	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YJR066W	TOR1	P35169	-	-	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis; TOR1 has a paralog, TOR2, that arose from the whole genome duplication 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YHR165C	PRP8	P33334	-	-	Component of U4/U6-U5 snRNP complex; involved in second catalytic step of splicing; participates in spliceosomal assembly through its interaction with U1 snRNA; largest and most evolutionarily conserved protein of the spliceosome; mutations in human ortholog, PRPF8, cause Retinitis pigmentosa and missplicing in Myelodysplastic syndrome; mouse ortholog interacts with androgen receptor and may have a role in prostate cancer 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YFR019W	FAB1	P34756	-	-	1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YJL130C	URA2	P07259	-	-	Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YCR032W	BPH1	P25356	-	-	Protein homologous to Chediak-Higashi syndrome and Beige proteins; both of which are implicated in disease syndromes in human and mouse, respectively, due to defective lysosomal trafficking; mutant phenotype and genetic interactions suggest a role in protein sorting 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YER155C	BEM2	P39960	-	-	Rho GTPase activating protein (RhoGAP); involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence; potential GAP for Rho4p 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YDL171C	GLT1	Q12680	-	-	NAD(+)-dependent glutamate synthase (GOGAT); synthesizes glutamate from glutamine and alpha-ketoglutarate; with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source; assembles into filaments as cells approach stationary phase and under cytosolic acidification and starvation conditions 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YFL007W	BLM10	P43583	-	-	Proteasome activator; binds the core proteasome (CP) and stimulates proteasome-mediated protein degradation by inducing gate opening; required for sequestering CP into proteasome storage granule (PSG) during quiescent phase and for nuclear import of CP in proliferating cells; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YMR207C	HFA1	P32874	-	-	Mitochondrial acetyl-coenzyme A carboxylase; catalyzes production of malonyl-CoA in mitochondrial fatty acid biosynthesis; relocalizes from mitochondrion to cytoplasm upon DNA replication stress; genetic and comparative analysis suggests that translation begins at a non-canonical (Ile) start codon at -372 relative to the annotated start codon 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGR217W	CCH1	P50077	-	-	Voltage-gated high-affinity calcium channel; involved in calcium influx in response to some environmental stresses as well as exposure to mating pheromones; interacts and partially co-localizes with Mid1p; however, evidence suggests CCH1 is not required for Mid1p function 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YJL207C	LAA1	P39526	-	-	AP-1 accessory protein; colocalizes with clathrin to the late-Golgi apparatus; involved in TGN-endosome transport; physically interacts with AP-1; similar to the mammalian p200; may interact with ribosomes; YJL207C is a non-essential gene 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGR271W	SLH1	P53327	-	-	Putative RNA helicase related to Ski2p; involved in translation inhibition of non-poly(A) mRNAs; required for repressing propagation of dsRNA viruses 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YNL271C	BNI1	P41832	-	-	Formin; polarisome component; nucleates the formation of linear actin filaments, involved in cell processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; recruited to the division site in a Glc7p/Ref2p dependent manner following release of Bnr1p; functionally redundant with BNR1 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGR184C	UBR1	P19812	-	-	E3 ubiquitin ligase (N-recognin); heterodimerizes with Rad6p to recognize and ubiquitinate substrates of the N-end rule pathway; role in endoplasmic reticulum-associated protein degradation (ERAD) in the absence of canonical ER membrane ligases or after stress; major role in targeting misfolded cytosolic proteins for degradation; regulates peptide transport via Cup9p ubiquitination; mutation in human UBR1 causes Johansson-Blizzard Syndrome (JBS) 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLR422W	DCK1	Q06409	-	-	Dock family protein (Dedicator Of CytoKinesis), homolog of human DOCK1; upstream component for regulation through the small GTPase Rho5p; may form a complex with Lmo1p that acts as a GEF for Rho5p; interacts with Ino4p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein; DOCK proteins act as guanine nucleotide exchange factors 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YBR275C	RIF1	P29539	-	-	Protein that binds to the Rap1p C-terminus; acts synergistically with Rif2p to help control telomere length and establish telomeric silencing; involved in control of DNA replication; contributes to resection of DNA double strand breaks (DSBs); deletion results in telomere elongation 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGR032W	GSC2	P40989	-	-	Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLR342W	FKS1	P38631	-	-	Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog, GSC2, that arose from the whole genome duplication 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YKR095W	MLP1	Q02455	-	-	Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog, MLP2, that arose from the whole genome duplication 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YLR024C	UBR2	Q07963	-	-	Cytoplasmic ubiquitin-protein ligase (E3); component of the Mub1p-Ubr2p-Rad6p ubiquitin ligase complex required for the ubiquitination and degradation of Rpn4p; mediates formation of the ternary complex 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YHL030W	ECM29	P38737	-	-	Scaffold protein; assists in association of the proteasome core particle with the regulatory particle; inhibits proteasomal ATPase activity; degraded by the mature proteasome after assembly; contains HEAT-like repeats; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YGR296W	YRF1-3	P0CX14	-	-	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YNL339C	YRF1-6	P53819	-	-	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YPL283C	YRF1-7	P0CX15	-	-	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YBR208C	DUR1,2	P32528	-	-	Urea amidolyase; contains both urea carboxylase and allophanate hydrolase activities, degrades urea to CO2 and NH3; expression sensitive to nitrogen catabolite repression and induced by allophanate, an intermediate in allantoin degradation; protein abundance increases in response to DNA replication stress 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YDR420W	HKR1	P41809	-	-	Mucin family member that functions as an osmosensor in the HOG pathway; large, highly glycosylated protein that functions redundantly with Msb2p in Sho1p-mediated osmostresss induction of the HOG signaling pathway; cytoplasmic domain interacts with Ahk1p a scaffold protein that prevents cross talk with the Kss1p MAPK of the filamentous growth pathway; mutant displays defects in beta-1,3 glucan synthesis and bud site selection 	Saccharomyces cerevisiae	559292	-
DNEGSCER	YDR545W	YRF1-1	P0CX20	-	-	Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p 	Saccharomyces cerevisiae	559292	-
