#DEG_AC	#Gene_Name	#Gene_Ref	#Uniprot_ID	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG2001	DEG20010001	TFC3	P34111	GI:6319317	-	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010002	EFB1	P32471	GI:6319315	-	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010003	MAK16	P10962	GI:6319294	-	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010004	PRP45	P28004	GI:6319287	-	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010005	POP5	P28005	GI:6319286	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010006	MTW1	P39731	GI:6319283	-	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010007	CDC19	P00549	GI:6319279	-	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010008	CDC24	P11433	GI:6319276	-	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010009	PTA1	Q01329	GI:6319273	-	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010010	RFA1	P22336	GI:6319321	-	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010011	SEN34	P39707	GI:6319322	-	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010012	CDC15	P27636	GI:6319328	-	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010013	HTA2	P04912	GI:6319470	-	Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010014	UTP20	P35194	GI:14270688	-	Component of the small-subunit (SSU) processome, which is involved in the biogenesis of the 18S rRNA	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010015	RRN6	P32786	GI:6319457	-	Protein involved in the transcription of 35S rRNA genes by RNA polymerase I; component of the core factor (CF) complex also composed of Rrn11p, Rrn7p and TATA-binding protein	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010016	POP8	P38208	GI:6319453	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010017	RFT1	P38206	GI:6319451	-	Essential integral membrane protein that is required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010018	MCM2	P29469	GI:6319448	-	Protein involved in DNA replication; component of the Mcm2-7 hexameric complex that binds chromatin as a part of the pre-replicative complex	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010019	LSM2	P38203	GI:6319445	-	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010020	PET9	P18239	GI:6319441	-	Major ADP/ATP carrier of the mitochondrial inner membrane, exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; required for viability in many common lab strains carrying a mutation in the polymorphic SAL1 gene	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010021	STU1	P38198	GI:6319437	-	Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010022	POL12	P38121	GI:6319436	-	B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010023	ERD2	P18414	GI:6319431	-	HDEL receptor, an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010024	PRE7	P23724	GI:6319430	-	Beta 6 subunit of the 20S proteasome	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010025	SEC17	P32602	GI:6319421	-	Peripheral membrane protein required for vesicular transport between ER and Golgi and for the 'priming' step in homotypic vacuole fusion, part of the cis-SNARE complex; has similarity to alpha-SNAP	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010026	AAR2	P32357	GI:6319398	-	Component of the U5 snRNP, required for splicing of U3 precursors; originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010027	ILS1	P09436	GI:6319395	-	Cytoplasmic isoleucine-tRNA synthetase, target of the G1-specific inhibitor reveromycin A	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010028	CDC27	P38042	GI:6319387	-	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010029	RPL32	P38061	GI:6319378	-	Protein component of the large (60S) ribosomal subunit, has similarity to rat L32 ribosomal protein; overexpression disrupts telomeric silencing	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010030	BRN1	P38170	GI:41629672	-	Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010031	SFT2	P38166	GI:6319366	-	Non-essential tetra-spanning membrane protein found mostly in the late Golgi, can suppress some sed5 alleles; may be part of the transport machinery, but precise function is unknown; similar to mammalian syntaxin 5	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010032	PKC1	P24583	GI:6319363	-	Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha, beta, and gamma isoforms of mammalian protein kinase C (PKC)	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010033	RER2	P35196	GI:6319474	-	Cis-prenyltransferase involved in dolichol synthesis; participates in endoplasmic reticulum (ER) protein sorting	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010034	GPI18	P38211	GI:6319476	-	Functional ortholog of human PIG-V, which is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010035	HHF1	-	GI:6319481	-	Histone H4, core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010036	IPP1	P00817	GI:6319483	-	Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, highly expressed and essential for viability, active-site residues show identity to those from E. coli PPase	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010037	SCO2	P38072	GI:6319498	-	Protein anchored to the mitochondrial inner membrane, similar to Sco1p and may have a redundant function with Sco1p in delivery of copper to cytochrome c oxidase; interacts with Cox2p	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010038	CDS1	P38221	GI:6319503	-	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthesis of all major yeast phospholipids	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010039	CHS2	P14180	GI:6319512	-	Chitin synthase II, requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for the synthesis of chitin in the primary septum during cytokinesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010040	REB1	P21538	GI:6319523	-	RNA polymerase I enhancer binding protein; DNA binding protein which binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010041	PRP6	P19735	GI:6319529	-	Splicing factor, component of the U4/U6-U5 snRNP complex	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010042	TSC3	Q3E790	GI:14270689	-	Protein that stimulates the activity of serine palmitoyltransferase (Lcb1p, Lcb2p) several-fold; involved in sphingolipid biosynthesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010043	ORC2	P32833	GI:6319534	-	Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing; interacts with Spp1p and with trimethylated histone H3; phosphorylated by Cdc28p	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010044	ALG14	P38242	GI:6319544	-	Component of UDP-GlcNAc transferase required for the second step of dolichyl-linked oligosaccharide synthesis; anchors the catalytic subunit Alg13p to the ER membrane; similar to bacterial and human glycosyltransferases	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010045	RPG1	P38249	GI:6319553	-	Subunit of the core complex of translation initiation factor 3(eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010046	SEC18	P18759	GI:6319554	-	ATPase required for the release of Sec17p during the 'priming' step in homotypic vacuole fusion and for ER to Golgi transport; homolog of the mammalian NSF	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010047	RFC5	P38251	GI:6319562	-	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010048	POL30	P15873	GI:6319564	-	Proliferating cell nuclear antigen (PCNA), functions as the sliding clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010049	TIM12/MRS5	-	GI:6319567	-	Essential protein of the inner mitochondrial membrane, peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010050	EXO84	P38261	GI:6319578	-	Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010051	CMD1	P06787	GI:6319585	-	Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010052	ALG1	P16661	GI:6319586	-	Mannosyltransferase, involved in asparagine-linked glycosylation in the endoplasmic reticulum (ER); essential for viability, mutation is functionally complemented by human ortholog	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010053	GRS1	P38088	GI:6319597	-	Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation	Saccharomyces cerevisiae	559292	Rich medium
