#Gene_Name	#Uniprot_ID	label
DEG20010001	P34111	1
DEG20010002	P32471	1
DEG20010003	P10962	1
DEG20010004	P28004	1
DEG20010005	P28005	1
DEG20010006	P39731	1
DEG20010007	P00549	1
DEG20010008	P11433	1
DEG20010009	Q01329	1
DEG20010010	P22336	1
DEG20010011	P39707	1
DEG20010012	P27636	1
DEG20010013	P04912	1
DEG20010014	P35194	1
DEG20010015	P32786	1
DEG20010016	P38208	1
DEG20010017	P38206	1
DEG20010018	P29469	1
DEG20010019	P38203	1
DEG20010020	P18239	1
DEG20010021	P38198	1
DEG20010022	P38121	1
DEG20010023	P18414	1
DEG20010024	P23724	1
DEG20010025	P32602	1
DEG20010026	P32357	1
DEG20010027	P09436	1
DEG20010028	P38042	1
DEG20010029	P38061	1
DEG20010030	P38170	1
DEG20010031	P38166	1
DEG20010032	P24583	1
DEG20010033	P35196	1
DEG20010034	P38211	1
DEG20010036	P00817	1
DEG20010037	P38072	1
DEG20010038	P38221	1
DEG20010039	P14180	1
DEG20010040	P21538	1
DEG20010041	P19735	1
DEG20010042	Q3E790	1
DEG20010043	P32833	1
DEG20010044	P38242	1
DEG20010045	P38249	1
DEG20010046	P18759	1
DEG20010047	P38251	1
DEG20010048	P15873	1
DEG20010050	P38261	1
DEG20010051	P06787	1
DEG20010052	P16661	1
DEG20010053	P38088	1
DEG20010054	P32367	1
DEG20010055	P20486	1
DEG20010056	P38111	1
DEG20010058	P38112	1
DEG20010059	P12385	1
DEG20010060	P38282	1
DEG20010061	P33312	1
DEG20010062	P20434	1
DEG20010063	P33313	1
DEG20010064	P38285	1
DEG20010065	P00546	1
DEG20010066	P38291	1
DEG20010067	P38127	1
DEG20010068	P38304	1
DEG20010069	P12709	1
DEG20010070	P38129	1
DEG20010071	P38132	1
DEG20010072	P38313	1
DEG20010073	P69850	1
DEG20010074	P38328	1
DEG20010075	P32783	1
DEG20010076	P21372	1
DEG20010077	P07286	1
DEG20010078	P38333	1
DEG20010079	P33317	1
DEG20010080	P32570	1
DEG20010081	P38334	1
DEG20010082	P38145	1
DEG20010083	P38336	1
DEG20010084	P38342	1
DEG20010085	P25578	1
DEG20010086	P25374	1
DEG20010087	P25368	1
DEG20010088	P17967	1
DEG20010089	P25580	1
DEG20010090	P25582	1
DEG20010091	P25586	1
DEG20010092	P0CY09	1
DEG20010093	P00560	1
DEG20010094	P25359	1
DEG20010095	P0CY08	1
DEG20010096	P25632	1
DEG20010097	P25355	1
DEG20010098	P25635	1
DEG20010099	P25382	1
DEG20010100	P25655	1
DEG20010101	P0CY13	1
DEG20010102	Q12158	1
DEG20010103	Q12165	1
DEG20010104	P40327	1
DEG20010105	Q12157	1
DEG20010106	P32828	1
DEG20010107	P15646	1
DEG20010108	Q99190	1
DEG20010109	P06243	1
DEG20010110	P54199	1
DEG20010111	P32381	1
DEG20010112	P19736	1
DEG20010113	Q12389	1
DEG20010114	Q07350	1
DEG20010115	P38913	1
DEG20010116	P41940	1
DEG20010117	P25386	1
DEG20010118	Q07381	1
DEG20010119	P50623	1
DEG20010120	P07255	1
DEG20010121	Q07478	1
DEG20010122	Q07508	1
DEG20010123	P38985	1
DEG20010124	Q12377	1
